,Link,address,Bedrooms,Bathrooms,Car spaces,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Land area,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/50-21-bay-dr-meadowbank-nsw-2114-20335340,"50/21 Bay Dr, Meadowbank",2,2,1,$750k,$800k,$500/w,$575/w,Unit 2015 1785m2 ,27 Jul 2017 Sold $611k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/115a-116-bowden-st-meadowbank-nsw-2114-20886707,"115a/116 Bowden St, Meadowbank",-,-,-,$600k,$650k,$425/w,$500/w,Unknown ,27 Jul 2017 Sold $680k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/57-21-bay-dr-meadowbank-nsw-2114-20166380,"57/21 Bay Dr, Meadowbank",2,2,2,$800k,$900k,$500/w,$575/w,Apartment 2015 1785m2 ,07 Jul 2020 Listed for Rent Deposit Taken pw,1785m2,25 Jul 2017 Sold $878k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/515a-116-bowden-st-meadowbank-nsw-2114-20887066,"515a/116 Bowden St, Meadowbank",-,-,-,$600k,$650k,$425/w,$500/w,Unknown ,25 Jul 2017 Sold $662k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/806a-116-bowden-st-meadowbank-nsw-2114-20887155,"806a/116 Bowden St, Meadowbank",-,-,-,$800k,$900k,$500/w,$575/w,Unknown ,25 Jul 2017 Sold $950k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-stone-st-meadowbank-nsw-2114-19461156,"6 Stone St, Meadowbank",3,1,1,$1.40M,$1.50M,$500/w,$575/w,House 1915 85m2 315m2 Residential - A 3/285508 ,24 Jul 2017 Sold $1.58M,315m2,"20 Apr 2017 Listed for Sale SOLD AT AUCTION FOR $1,580,000",27 Nov 2009 Sold $732k,85m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/35-21-bay-dr-meadowbank-nsw-2114-20167837,"35/21 Bay Dr, Meadowbank",2,2,1,$650k,$700k,$425/w,$500/w,Unit 2015 1785m2 ,24 Jul 2017 Sold $690k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/68-21-bay-dr-meadowbank-nsw-2114-20325279,"68/21 Bay Dr, Meadowbank",2,1,1,$650k,$700k,$425/w,$500/w,Unit 2015 1785m2 ,24 Jul 2017 Sold $594k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/2-125-bowden-st-meadowbank-nsw-2114-20822707,"2/125 Bowden St, Meadowbank",-,-,-,$750k,$800k,$425/w,$500/w,Unit ,24 Jul 2017 Sold $883k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/606a-116-bowden-st-meadowbank-nsw-2114-20884780,"606a/116 Bowden St, Meadowbank",-,-,-,$750k,$800k,$500/w,$575/w,Unit ,24 Jul 2017 Sold $930k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/31-21-bay-dr-meadowbank-nsw-2114-20317537,"31/21 Bay Dr, Meadowbank",2,1,1,$750k,$800k,$500/w,$575/w,Unit 2015 1785m2 ,21 Jul 2017 Sold $594k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/23-21-bay-dr-meadowbank-nsw-2114-20319385,"23/21 Bay Dr, Meadowbank",2,1,1,$650k,$700k,$425/w,$500/w,Unit 2015 1785m2 ,21 Jul 2017 Sold $594k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/39-21-bay-dr-meadowbank-nsw-2114-20327486,"39/21 Bay Dr, Meadowbank",2,2,1,$750k,$800k,$500/w,$575/w,Unit 2017 72m2 1785m2 ,21 Jul 2017 Sold $594k,1785m2,,,72m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/13-125-bowden-st-meadowbank-nsw-2114-20832004,"13/125 Bowden St, Meadowbank",-,-,-,$550k,$600k,$425/w,$500/w,Unit ,20 Jul 2017 Sold $633k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/13-21-bay-dr-meadowbank-nsw-2114-20149559,"13/21 Bay Dr, Meadowbank",2,2,1,$750k,$800k,$500/w,$575/w,Unit 2015 1785m2 ,19 Jul 2017 Sold $729k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/18-21-bay-dr-meadowbank-nsw-2114-20328464,"18/21 Bay Dr, Meadowbank",1,1,1,$527k,$644k,$425/w,$500/w,Unit 2015 1785m2 ,19 Jul 2017 Sold $611k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/11-125-bowden-st-meadowbank-nsw-2114-20822369,"11/125 Bowden St, Meadowbank",-,-,-,$800k,$900k,$500/w,$575/w,Unit ,18 Jul 2017 Sold $898k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/16-125-bowden-st-meadowbank-nsw-2114-20822402,"16/125 Bowden St, Meadowbank",-,-,-,$550k,$600k,$425/w,$500/w,Unit ,18 Jul 2017 Sold $628k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/5-125-bowden-st-meadowbank-nsw-2114-20822590,"5/125 Bowden St, Meadowbank",-,-,-,$700k,$750k,$350/w,$425/w,Unit ,18 Jul 2017 Sold $888k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/59-21-bay-dr-meadowbank-nsw-2114-20334104,"59/21 Bay Dr, Meadowbank",2,1,1,$550k,$600k,$425/w,$500/w,Unit 2015 1785m2 ,14 Jul 2017 Sold $611k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/16-21-bay-dr-meadowbank-nsw-2114-20320443,"16/21 Bay Dr, Meadowbank",2,2,1,$550k,$600k,$425/w,$500/w,Unit 2015 1785m2 ,11 Jul 2017 Sold ,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/10-125-bowden-st-meadowbank-nsw-2114-20827280,"10/125 Bowden St, Meadowbank",-,-,-,$550k,$600k,$425/w,$500/w,Unit ,11 Jul 2017 Sold $619k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/20-72--78-constitution-rd-w-meadowbank-nsw-2114-14280144,"20/72-78 Constitution Rd W, Meadowbank",2,2,1,$718k,$878k,,,Apartment 2002 127m2 3505m2 Residential - A ,10 Jul 2017 Sold $825k,3505m2,20 May 2002 Sold $320k,,127m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/212a-116-bowden-st-meadowbank-nsw-2114-20886873,"212a/116 Bowden St, Meadowbank",-,-,-,$600k,$650k,$425/w,$500/w,Unknown ,07 Jul 2017 Sold $640k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/4-6-bank-st-meadowbank-nsw-2114-2474045,"4/6 Bank St, Meadowbank",2,1,1,$550k,$600k,$350/w,$425/w,Unit 1965 13m2 837m2 Residential - A 4/SP17789 ,18 Jul 2017 Rented $430,837m2,06 Jul 2017 Sold $596k,14 Jul 2016 Rented $420,13m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-13-bay-dr-meadowbank-nsw-2114-2501306,"6/13 Bay Dr, Meadowbank",2,2,1,$800k,$900k,$500/w,$575/w,Unit 2007 91m2 1160m2 Residential - A 125/SP79422 ,06 Jul 2017 Sold $880k,1160m2,23 Apr 2015 Sold ,30 Jan 2015 Sold $678k,91m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/14-33-meadow-cres-meadowbank-nsw-2114-13487420,"14/33 Meadow Cres, Meadowbank",2,1,1,$450k,$500k,$350/w,$425/w,Unit 1965 53m2 1359m2 Residential - A 14/SP7737 ,03 Jul 2017 Sold $509k,1359m2,02 May 1988 Sold $65k,10 Nov 1983 Sold $45k,53m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/21-1-bay-dr-meadowbank-nsw-2114-2296422,"21/1 Bay Dr, Meadowbank",2,1,1,$700k,$750k,$425/w,$500/w,House 2006 75m2 10526m2 Residential - A 54/SP76502 ,03 Jul 2017 Sold $795k,10526m2,29 Jun 2006 Sold $595k,20 Apr 2006 Sold $400k,75m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/7-125-bowden-st-meadowbank-nsw-2114-20825395,"7/125 Bowden St, Meadowbank",-,-,-,$550k,$600k,$425/w,$500/w,Unit ,30 Jun 2017 Sold $614k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/127-bowden-st-meadowbank-nsw-2114-8160657,"127 Bowden St, Meadowbank",-,-,-,$3.95M,$5.93M,,,House 1976 555m2 Factory Business - B 2/14964 ,30 Jun 2017 Sold $10.25M,555m2,29 Apr 2009 Sold $2.15M,11 Oct 1999 Sold $2.15M,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/8-125-bowden-st-meadowbank-nsw-2114-20822773,"8/125 Bowden St, Meadowbank",-,-,-,$800k,$900k,$500/w,$575/w,Unit ,29 Jun 2017 Sold $893k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/419a-116-bowden-st-meadowbank-nsw-2114-20887317,"419a/116 Bowden St, Meadowbank",-,-,-,$750k,$800k,$425/w,$500/w,Unknown ,26 Jun 2017 Sold $910k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/18-17-meadow-cres-meadowbank-nsw-2114-14975427,"18/17 Meadow Cres, Meadowbank",2,1,1,$500k,$611k,$350/w,$425/w,Apartment 1969 44m2 2026m2 Residential - A 32/SP4417 ,20 Jun 2017 Sold $610k,2026m2,19 Apr 2017 Listed for Sale CONTACT AGENT | Leighton Avery,26 Sep 2014 Sold $452k,44m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/11-21-bay-dr-meadowbank-nsw-2114-20320963,"11/21 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,Unit 2015 1785m2 ,20 Jun 2017 Sold $600k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/7-20-meadow-cres-meadowbank-nsw-2114-4514847,"7/20 Meadow Cres, Meadowbank",2,1,-,$550k,$600k,$350/w,$425/w,Unit 1960 61m2 735m2 Residential - A 7/SP10696 ,19 Jun 2017 Sold $645k,735m2,28 Jun 2013 Rented $400,28 Feb 2013 Rented $400,61m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/4-7-bay-dr-meadowbank-nsw-2114-2341703,"4/7 Bay Dr, Meadowbank",3,2,2,$800k,$900k,$650/w,$750/w,Apartment 2006 109m2 10526m2 Residential - A 232/SP77059 ,16 Jun 2017 Sold $940k,10526m2,04 Jun 2015 Sold $780k,"25 Mar 2015 Listed for Sale Offers Over $775,000",109m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/103a-116-bowden-st-meadowbank-nsw-2114-20891973,"103a/116 Bowden St, Meadowbank",-,-,-,$900k,$1.00M,$575/w,$650/w,Unknown ,15 Jun 2017 Sold $970k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/214a-116-bowden-st-meadowbank-nsw-2114-20892324,"214a/116 Bowden St, Meadowbank",-,-,-,$800k,$900k,$575/w,$650/w,Unknown ,15 Jun 2017 Sold $815k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/24-24--26-meadow-cres-meadowbank-nsw-2114-12173213,"24/24-26 Meadow Cres, Meadowbank",1,1,1,$450k,$500k,$300/w,$350/w,Unit 1960 164m2 2238m2 Residential - A 24/SP4008 ,14 Jun 2017 Sold $505k,2238m2,29 Mar 2017 Listed for Sale Contact agent | Leighton Avery,26 Sep 2007 Sold $245k,164m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1-11-bay-dr-meadowbank-nsw-2114-2532073,"1/11 Bay Dr, Meadowbank",1,1,1,$559k,$684k,$425/w,$500/w,Apartment 2005 3372m2 Business - B 1/SP80268 ,14 Jun 2017 Sold $612k,3372m2,30 Nov 2016 Listed for Sale UNDER CONTRACT,15 Sep 2010 Sold $700k,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1605-13-angas-st-meadowbank-nsw-2114-19720147,"1605/13 Angas St, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,Apartment 2014 6528m2 Residential - A 48/SP91188 ,13 Jun 2017 Sold $620k,6528m2,03 Mar 2017 Listed for Sale UNDER CONTRACT,22 Apr 2015 Sold $520k,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/21-3-bay-dr-meadowbank-nsw-2114-4928330,"21/3 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,Unit 2006 62m2 10526m2 Residential - A 101/SP76502 ,13 Jun 2017 Sold $625k,10526m2,26 Aug 2015 Rented $500,06 Aug 2015 Listed for Rent $530 Weekly,62m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/16-24--26-meadow-cres-meadowbank-nsw-2114-13936838,"16/24-26 Meadow Cres, Meadowbank",1,1,1,$400k,$450k,$300/w,$350/w,Unit 1960 164m2 2310m2 Residential - A 16/SP4008 ,08 Jun 2017 Sold $450k,2310m2,08 May 1984 Sold $45k,19 Dec 1978 Sold $24k,164m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/406a-116-bowden-st-meadowbank-nsw-2114-20887307,"406a/116 Bowden St, Meadowbank",-,-,-,$750k,$800k,$500/w,$575/w,Unknown ,08 Jun 2017 Sold $910k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/18-19-meadow-cres-meadowbank-nsw-2114-2123173,"18/19 Meadow Cres, Meadowbank",2,1,1,$496k,$607k,,,Apartment 1968 58m2 1319m2 Residential - A 28/SP3375 ,26 Nov 2018 Listed for Rent $410 to       $440 per week,1319m2,06 Jun 2017 Sold $585k,06 Apr 2017 Listed for Sale Contact Agent,58m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/207a-116-bowden-st-meadowbank-nsw-2114-20886863,"207a/116 Bowden St, Meadowbank",-,-,-,$600k,$650k,$425/w,$500/w,Unknown ,05 Jun 2017 Sold $850k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/517a-116-bowden-st-meadowbank-nsw-2114-20887340,"517a/116 Bowden St, Meadowbank",-,-,-,$750k,$800k,$500/w,$575/w,Unknown ,23 May 2017 Sold $845k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/309a-116-bowden-st-meadowbank-nsw-2114-20886966,"309a/116 Bowden St, Meadowbank",-,-,-,$600k,$650k,$425/w,$500/w,Unknown ,18 May 2017 Sold $690k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/5-23-angas-st-meadowbank-nsw-2114-2287494,"5/23 Angas St, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2006 59m2 10526m2 Residential - A 191/SP77059 ,18 May 2017 Sold $598k,10526m2,04 Mar 2017 Listed for Sale OPEN HOME CANCELLED,19 Jun 2006 Sold $310k,59m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/29-21-bay-dr-meadowbank-nsw-2114-20317399,"29/21 Bay Dr, Meadowbank",2,1,1,$600k,$650k,$425/w,$500/w,Unit 2015 1785m2 ,17 May 2017 Sold $685k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/9-17-meadow-cres-meadowbank-nsw-2114-4025909,"9/17 Meadow Cres, Meadowbank",2,1,1,$536k,$655k,$350/w,$425/w,Unit 1969 56m2 2021m2 Residential - A 41/SP4417 ,16 May 2017 Sold $642k,2021m2,"24 Mar 2017 Listed for Sale $630,000 - $670,000",14 Apr 2013 Rented $420,56m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/5-3-bay-dr-meadowbank-nsw-2114-14103203,"5/3 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,Unit 2006 75m2 10526m2 Residential - A 85/SP76502 ,15 May 2017 Sold $606k,10526m2,,,75m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/21-72--78-constitution-rd-w-meadowbank-nsw-2114-14280146,"21/72-78 Constitution Rd W, Meadowbank",2,2,1,$669k,$905k,,,Apartment 2002 111m2 3505m2 Residential - A 21/SP67799 ,15 May 2017 Sold $832k,3505m2,08 Jul 2009 Sold $440k,03 May 2002 Sold $340k,111m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/60-141-bowden-st-meadowbank-nsw-2114-2516515,"60/141 Bowden St, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,Apartment 2000 75m2 4877m2 Residential - A 60/SP72616 ,11 May 2017 Sold $615k,4877m2,30 Nov 2007 Sold $560k,25 May 2004 Sold $335k,75m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/19-21--27-meadow-cres-meadowbank-nsw-2114-11085620,"19/21-27 Meadow Cres, Meadowbank",3,1,1,$650k,$700k,$425/w,$500/w,Unit 1972 73m2 4643m2 Residential - A 19/SP6451 ,16 May 2017 Rented $520,4643m2,09 May 2017 Sold $690k,27 Apr 2017 Listed for Rent $520,73m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/12-21-bay-dr-meadowbank-nsw-2114-20330506,"12/21 Bay Dr, Meadowbank",2,2,1,$600k,$650k,$425/w,$500/w,Unit 2015 1785m2 ,09 May 2017 Sold $660k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/82-141-bowden-st-meadowbank-nsw-2114-2163306,"82/141 Bowden St, Meadowbank",2,2,1,$750k,$800k,$500/w,$575/w,Apartment 2000 96m2 4877m2 Residential - A 82/SP72616 ,05 May 2017 Sold $799k,4877m2,30 Jan 2017 Listed for Sale UNDER CONTRACT,12 Jan 2010 Sold $250k,96m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/316a-116-bowden-st-meadowbank-nsw-2114-20886971,"316a/116 Bowden St, Meadowbank",-,-,-,$600k,$650k,$425/w,$500/w,Unknown ,04 May 2017 Sold $647k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/415a-116-bowden-st-meadowbank-nsw-2114-20887024,"415a/116 Bowden St, Meadowbank",-,-,-,$600k,$650k,$425/w,$500/w,Unknown ,02 May 2017 Sold $655k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/12-58-meadow-cres-meadowbank-nsw-2114-3416876,"12/58 Meadow Cres, Meadowbank",2,1,1,$498k,$609k,,,Unit 1974 64m2 2188m2 Residential - A 12/SP8852 ,02 May 2017 Sold $615k,2188m2,07 Aug 2007 Sold $275k,05 Feb 2001 Sold $185k,64m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/70-2-underdale-lane-meadowbank-nsw-2114-14874541,"70/2 Underdale Lane, Meadowbank",1,1,1,$519k,$634k,,,Unit 2008 468m2 Residential - A 1/DP958444 ,01 May 2017 Sold ,468m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/5-46--48-meadow-cres-meadowbank-nsw-2114-17818476,"5/46-48 Meadow Cres, Meadowbank",2,1,1,$550k,$600k,$350/w,$425/w,Unit 1970 67m2 1944m2 Residential - A 5/SP5812 ,01 May 2017 Sold $635k,1944m2,05 Apr 2007 Sold $263k,,67m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/218a-116-bowden-st-meadowbank-nsw-2114-20887275,"218a/116 Bowden St, Meadowbank",-,-,-,$800k,$900k,$500/w,$575/w,Unknown ,28 Apr 2017 Sold $955k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-45-meadow-cres-meadowbank-nsw-2114-4381671,"6/45 Meadow Cres, Meadowbank",1,1,-,$400k,$450k,$300/w,$350/w,Unit 1973 48m2 685m2 Residential - A 6/SP7620 ,28 Oct 2019 Listed for Rent $350,685m2,01 Apr 2019 Listed for Rent $360,25 Jan 2018 Listed for Rent $380,48m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/519a-116-bowden-st-meadowbank-nsw-2114-20884754,"519a/116 Bowden St, Meadowbank",2,2,1,$800k,$900k,$575/w,$650/w,Apartment ,19 Feb 2020 Listed for Rent $610,,26 Apr 2017 Sold $920k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/13-33-meadow-cres-meadowbank-nsw-2114-13643610,"13/33 Meadow Cres, Meadowbank",2,1,1,$550k,$600k,$425/w,$500/w,Unit 1973 59m2 1359m2 Residential - A 13/SP7737 ,24 Apr 2017 Sold $615k,1359m2,20 Mar 2017 Listed for Sale Contact agent,18 Sep 1998 Sold $175k,59m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-72--78-constitution-rd-w-meadowbank-nsw-2114-14280170,"6/72-78 Constitution Rd W, Meadowbank",2,2,1,$665k,$900k,,,Unit 2002 88m2 3505m2 Residential - A ,24 Apr 2017 Sold $790k,3505m2,,,88m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/30-4--8-angas-st-meadowbank-nsw-2114-19548571,"30/4-8 Angas St, Meadowbank",2,2,1,$700k,$750k,$500/w,$575/w,Unit 2014 80m2 1841m2 ,21 Apr 2017 Sold $782k,1841m2,25 Jul 2014 Sold $575k,,80m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/24-72--78-constitution-rd-w-meadowbank-nsw-2114-14280152,"24/72-78 Constitution Rd W, Meadowbank",2,2,1,$744k,$909k,,,Apartment 2002 85m2 3505m2 Residential - A ,24 Jun 2017 Rented $580,3505m2,06 Jun 2017 Listed for Rent $580,19 Apr 2017 Sold $830k,85m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/314a-116-bowden-st-meadowbank-nsw-2114-20889160,"314a/116 Bowden St, Meadowbank",-,-,-,,,$425/w,$500/w,Unknown ,19 Apr 2017 Sold $647k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/5-12-meadow-cres-meadowbank-nsw-2114-2505996,"5/12 Meadow Cres, Meadowbank",2,1,1,$600k,$650k,$350/w,$425/w,Unit 1965 239m2 1864m2 Residential - A 36/SP18836 ,13 Apr 2017 Sold $636k,1864m2,"15 Feb 2017 Listed for Sale Auction Guide $585,000 - $605,000",06 Jan 2016 Rented $450,239m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/317a-116-bowden-st-meadowbank-nsw-2114-20884666,"317a/116 Bowden St, Meadowbank",2,2,1,$800k,$900k,$575/w,$650/w,Apartment ,13 Feb 2020 Listed for Rent $600,,12 Apr 2017 Sold $825k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/3502-3--9-angas-st-meadowbank-nsw-2114-19721548,"3502/3-9 Angas St, Meadowbank",1,1,1,$593k,$724k,,,Unit 2014 71m2 86m2 Residential - A 139/SP91188 ,06 Apr 2017 Sold $672k,86m2,,,71m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/403a-116-bowden-st-meadowbank-nsw-2114-20885032,"403a/116 Bowden St, Meadowbank",2,2,1,$800k,$900k,$575/w,$650/w,Apartment ,19 Feb 2020 Listed for Rent $625 Per Week,,04 Apr 2017 Sold $920k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/26-5-bay-dr-meadowbank-nsw-2114-10246641,"26/5 Bay Dr, Meadowbank",2,2,1,$800k,$900k,$500/w,$575/w,Unit 2006 102m2 10526m2 Residential - A 151/SP76502 ,30 Mar 2017 Sold $817k,10526m2,01 Apr 2015 Sold $700k,14 Mar 2006 Sold $586k,102m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/216a-116-bowden-st-meadowbank-nsw-2114-20886877,"216a/116 Bowden St, Meadowbank",-,-,-,$800k,$900k,$575/w,$650/w,Unknown ,30 Mar 2017 Sold $890k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/10-15-bank-st-meadowbank-nsw-2114-2535274,"10/15 Bank St, Meadowbank",2,1,1,$550k,$600k,$350/w,$425/w,Unit 1970 64m2 1164m2 Residential - A 10/SP11025 ,30 Mar 2017 Sold $565k,1164m2,09 Feb 2017 Listed for Sale Forthcoming Auction,17 Dec 2007 Sold $288k,64m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/905a-116-bowden-st-meadowbank-nsw-2114-20885122,"905a/116 Bowden St, Meadowbank",-,-,-,$600k,$650k,$425/w,$500/w,Unit ,27 Mar 2017 Sold $689k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/505-115-bowden-st-meadowbank-nsw-2114-20698204,"505/115 Bowden St, Meadowbank",2,2,1,$800k,$900k,$500/w,$575/w,Apartment ,27 Aug 2020 Listed for Rent $520,,24 Mar 2017 Sold $855k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/12-58--58a-meadow-cres-meadowbank-nsw-2114-20927599,"12/58-58a Meadow Cres, Meadowbank",-,-,-,$550k,$600k,,,Unit ,22 Mar 2017 Sold $615k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/15-141-bowden-st-meadowbank-nsw-2114-4247280,"15/141 Bowden St, Meadowbank",2,2,1,$750k,$800k,$500/w,$575/w,Apartment 2004 116m2 4877m2 Residential - A 15/SP72616 ,21 Mar 2017 Listed for Rent DEPOSIT TAKEN,4877m2,20 Mar 2017 Sold $780k,13 Jan 2017 Listed for Sale Auction 4th Feb at 11:15am (Unless Sold Prior),116m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/3-52-meadow-cres-meadowbank-nsw-2114-12703170,"3/52 Meadow Cres, Meadowbank",1,1,1,$450k,$500k,$300/w,$350/w,Unit 1960 47m2 1445m2 Residential - A 3/SP4516 ,16 Jun 2020 Listed for Sale Contact Agent to inspect,1445m2,14 Mar 2017 Sold $460k,02 Jan 2017 Listed for Sale SOLD,47m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/319a-116-bowden-st-meadowbank-nsw-2114-20886972,"319a/116 Bowden St, Meadowbank",-,-,-,$800k,$900k,$575/w,$650/w,Unknown ,14 Mar 2017 Sold $900k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/411a-116-bowden-st-meadowbank-nsw-2114-20892359,"411a/116 Bowden St, Meadowbank",-,-,-,$600k,$650k,$425/w,$500/w,Unknown ,09 Mar 2017 Sold $715k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/13-21--27-meadow-cres-meadowbank-nsw-2114-17814167,"13/21-27 Meadow Cres, Meadowbank",3,1,1,$600k,$650k,$425/w,$500/w,Unit 1965 225m2 4643m2 Residential - A 13/SP6451 ,05 Jul 2019 Listed for Rent Deposit Taken,4643m2,07 Mar 2017 Sold $670k,06 Apr 2000 Sold $210k,225m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/116a-116-bowden-st-meadowbank-nsw-2114-20934539,"116a/116 Bowden St, Meadowbank",-,-,-,$800k,$900k,,,Unknown ,07 Mar 2017 Sold $845k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/22-46--48-meadow-cres-meadowbank-nsw-2114-19309931,"22/46-48 Meadow Cres, Meadowbank",1,1,1,$450k,$500k,$300/w,$350/w,Unit 1960 165m2 1944m2 Residential - A 22/SP5812 ,26 Jun 2019 Listed for Rent $390 per week,1944m2,06 Mar 2017 Sold $457k,14 Feb 2017 Rented $400,165m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/35-9-bay-dr-meadowbank-nsw-2114-2460691,"35/9 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,Unit 2007 83m2 1160m2 Residential - A 74/SP78741 ,06 Mar 2017 Sold $630k,1160m2,22 Nov 2013 Sold $460k,30 May 2008 Sold $395k,83m2
