,Link,address,Bedrooms,Bathrooms,Car spaces,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Land area,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/69-21-bay-dr-meadowbank-nsw-2114-20335718,"69/21 Bay Dr, Meadowbank",2,2,1,$550k,$600k,$425/w,$500/w,Unit 2015 1785m2 ,29 Jan 2019 Sold $585k,1785m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/20-54-meadow-cres-meadowbank-nsw-2114-2526162,"20/54 Meadow Cres, Meadowbank",1,1,1,$405k,$495k,$300/w,$350/w,Unit 1967 67m2 1709m2 Residential - A 25/SP2888 ,26 Jan 2019 Sold $450k,1709m2,"15 Jan 2019 Listed for Sale $450,000","10 Jan 2019 Listed for Sale Price Guide $430,000 - $470,000",67m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/31-117-bowden-st-meadowbank-nsw-2114-20780158,"31/117 Bowden St, Meadowbank",-,-,-,$750k,$800k,$500/w,$575/w,Unit ,24 Jan 2019 Sold $850k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/32-21-angas-st-meadowbank-nsw-2114-5718227,"32/21 Angas St, Meadowbank",3,2,2,$800k,$900k,$650/w,$750/w,Unit 2007 108m2 1160m2 Residential - A 32/SP78741 ,22 Jan 2019 Sold $850k,1160m2,16 Oct 2018 Listed for Sale SOLD BY Alvin 0466 090 928,30 Apr 2010 Sold $626k,108m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/27-5-bay-dr-meadowbank-nsw-2114-10246644,"27/5 Bay Dr, Meadowbank",1,1,1,$600k,$650k,$425/w,$500/w,Unit 2006 82m2 10526m2 Residential - A 152/SP76502 ,21 Jan 2019 Sold $623k,10526m2,18 Jul 2013 Sold $470k,22 Dec 2010 Sold $438k,82m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/47-141-bowden-st-meadowbank-nsw-2114-4264253,"47/141 Bowden St, Meadowbank",3,2,2,$900k,$1.00M,$650/w,$750/w,Unit 2004 114m2 4877m2 Residential - A 47/SP72616 ,19 Jan 2019 Sold $935k,4877m2,23 Apr 2015 Sold ,02 Feb 2015 Sold $868k,114m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/27-9-bay-dr-meadowbank-nsw-2114-2509987,"27/9 Bay Dr, Meadowbank",1,1,1,$500k,$550k,$425/w,$500/w,Unit 2007 60m2 1160m2 Residential - A 66/SP78741 ,14 Jan 2019 Sold $520k,1160m2,05 Sep 2014 Sold $490k,16 Nov 2007 Sold $550k,60m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/28-4-bank-st-meadowbank-nsw-2114-12731334,"28/4 Bank St, Meadowbank",1,1,1,$300k,$325k,$250/w,$300/w,Unit 1970 29m2 1310m2 Residential - A ,21 Dec 2018 Sold ,1310m2,30 Jan 2015 Rented $260,07 Jan 2015 Listed for Rent $260,29m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/43-21-bay-dr-meadowbank-nsw-2114-20329263,"43/21 Bay Dr, Meadowbank",2,2,2,$700k,$750k,$500/w,$575/w,Unit 2015 1785m2 ,21 Dec 2018 Sold $830k,1785m2,18 Mar 2015 Sold $790k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/3-25-angas-st-meadowbank-nsw-2114-14038211,"3/25 Angas St, Meadowbank",2,1,1,$450k,$500k,$425/w,$500/w,Unit 2006 84m2 10526m2 Residential - A 34/SP76502 ,20 Dec 2018 Sold $400k,10526m2,22 Mar 2006 Sold $340k,,84m2
