,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Floor area,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/13-squire-st-ryde-nsw-2112-12885323,"13 Squire St, Ryde",2,1,1,685m2,$1.40M,$1.50M,$575/w,$650/w,House 1978 685m2 Residential - A 7/DP14396 ,28 Jul 2018 Sold $1.37M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/1a-elizabeth-st-ryde-nsw-2112-13519553,"1a Elizabeth St, Ryde",2,1,1,338m2,$800k,$900k,$425/w,$500/w,House 1990 8m2 338m2 Residential - A 202/DP12999 ,28 Jul 2018 Sold $771k,,8m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/319-blaxland-rd-ryde-nsw-2112-13467759,"319 Blaxland Rd, Ryde",3,1,4,645m2,$1.60M,$1.80M,$425/w,$500/w,House 1920 139m2 645m2 Residential - A 8/DP321207 ,23 Jul 2018 Sold $1.81M,,139m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/32-hinkler-ave-ryde-nsw-2112-12417488,"32 Hinkler Ave, Ryde",4,2,2,660m2,$1.40M,$1.50M,$500/w,$575/w,House 1978 660m2 Residential - A 7/DP235182 ,22 Jul 2018 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/13-keppel-rd-ryde-nsw-2112-4748391,"13 Keppel Rd, Ryde",3,1,2,649m2,$1.50M,$1.60M,$575/w,$650/w,House 1980 8m2 649m2 Residential - A 214/12999 ,17 Jul 2018 Sold $1.19M,"31 May 2018 Listed for Sale For Sale - $1,200,000",8m2,23 Jun 2000 Sold $345k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/28-willow-cres-ryde-nsw-2112-13091846,"28 Willow Cres, Ryde",3,1,4,522m2,$1.40M,$1.50M,$575/w,$650/w,House 1960 152m2 522m2 Residential - A 9/DP28692 ,14 Jul 2018 Sold $1.28M,,152m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/269-morrison-rd-ryde-nsw-2112-12775130,"269 Morrison Rd, Ryde",4,2,2,562m2,$1.40M,$1.50M,$575/w,$650/w,House 1978 562m2 Residential - A 5/DP20245 ,12 Jul 2018 Sold ,01 Aug 1978 Sold $49k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/5-lee-ave-ryde-nsw-2112-13798595,"5 Lee Ave, Ryde",5,3,2,606m2,$2.00M,$2.20M,$575/w,$650/w,House 1980 290m2 606m2 Residential - A 2/DP598688 ,12 Jul 2018 Sold ,13 Oct 1978 Sold $30k,290m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/21-squire-st-ryde-nsw-2112-12709856,"21 Squire St, Ryde",8,2,2,638m2,$1.30M,$1.40M,$425/w,$500/w,House 1965 638m2 Residential - A 11/14396 ,10 Jul 2018 Sold ,14 May 2015 Sold $540k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/1-pooley-st-ryde-nsw-2112-12755824,"1 Pooley St, Ryde",3,1,1,499m2,$1.60M,$1.80M,$575/w,$650/w,House 1950 148m2 499m2 Residential - A 4/26692 ,09 Jul 2018 Sold ,13 Jun 2014 Sold $1.01M,148m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/9-ronald-ave-ryde-nsw-2112-13163755,"9 Ronald Ave, Ryde",4,3,2,645m2,$1.80M,$2.00M,$425/w,$500/w,House 1980 645m2 Residential - A 10/26150 ,09 Jul 2018 Sold $1.79M,22 Jun 2018 Listed for Rent $1300 PER WEEK,,21 Jun 2018 Listed for Sale SOLD
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/31-lavarack-st-ryde-nsw-2112-13262453,"31 Lavarack St, Ryde",4,3,2,613m2,$1.80M,$2.00M,$750/w,$850/w,House 1960 613m2 Residence Residential - A 9/208347 ,09 Jul 2018 Sold $460k,11 May 2012 Sold $960k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/7-salerwong-pl-ryde-nsw-2112-12838298,"7 Salerwong Pl, Ryde",3,1,2,575m2,$1.50M,$1.60M,$575/w,$650/w,House 1980 575m2 Residential - A 17/DP204701 ,09 Jul 2019 Listed for Rent $720 per week,18 Oct 2018 Listed for Rent Leased!,,04 Jul 2018 Sold $1.30M
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/277-quarry-rd-ryde-nsw-2112-13569934,"277 Quarry Rd, Ryde",3,1,1,508m2,$1.30M,$1.40M,$500/w,$575/w,House 1960 83m2 508m2 Residential - A 59/DP28190 ,04 Jul 2018 Sold $1.17M,,83m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/13-charles-st-ryde-nsw-2112-12663151,"13 Charles St, Ryde",2,1,-,698m2,$1.60M,$1.80M,$575/w,$650/w,House 1994 698m2 Residential - A 36/8329 ,03 Jul 2018 Sold $1.50M,25 Mar 1994 Sold $140k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/166-quarry-rd-ryde-nsw-2112-13407595,"166 Quarry Rd, Ryde",4,3,4,582m2,$2.00M,$2.20M,$750/w,$850/w,House 1960 290m2 582m2 Residential - A 2/202033 ,03 Jul 2018 Sold $2.33M,24 Nov 1995 Sold $120k,290m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/15a-linley-way-ryde-nsw-2112-4748354,"15a Linley Way, Ryde",3,2,1,300m2,$1.30M,$1.40M,$650/w,$750/w,House 2000 300m2 Residence Residential - A 12/861005 ,03 Jul 2018 Sold $1.22M,22 Sep 2014 Rented $630,,20 Aug 2012 Sold $685k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/17-rickard-st-ryde-nsw-2112-4516735,"17 Rickard St, Ryde",3,1,1,587m2,$1.50M,$1.60M,$650/w,$750/w,House 1980 587m2 Residence Residential - A 102/1016711 ,02 Jul 2018 Sold $1.27M,29 Jul 2002 Sold $320k,,10 Jul 1998 Sold $400k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/18-fisher-ave-ryde-nsw-2112-2477580,"18 Fisher Ave, Ryde",3,1,1,696m2,$2.60M,$2.80M,$650/w,$750/w,House 2011 400m2 696m2 Residence Residential - A 276/12999 ,30 Jun 2018 Sold $2.89M,17 Jun 2009 Sold $810k,400m2,10 Sep 2007 Sold $680k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/21-john-miller-st-ryde-nsw-2112-13050496,"21 John Miller St, Ryde",2,1,1,538m2,$1.30M,$1.40M,$500/w,$575/w,House 1980 538m2 Residential - A 75/35625 ,29 Jun 2018 Sold $1.30M,15 Jul 1997 Sold $255k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/4-irvine-cres-ryde-nsw-2112-13376534,"4 Irvine Cres, Ryde",3,1,1,587m2,$1.30M,$1.40M,$650/w,$750/w,House 1960 116m2 587m2 Residential - A 2/DP19018 ,29 Jun 2018 Sold $1.25M,18 Apr 1989 Sold $190k,116m2,02 Jul 1982 Sold $77k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/49-fawcett-st-ryde-nsw-2112-13037305,"49 Fawcett St, Ryde",4,2,2,711m2,$1.50M,$1.60M,$575/w,$650/w,House 1979 711m2 Residential - A 27/DP36579 ,28 Jun 2018 Sold ,02 Apr 1979 Sold $59k,,02 Apr 1979 Sold $59k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/82-princes-st-ryde-nsw-2112-4815321,"82 Princes St, Ryde",3,2,4,575m2,$1.60M,$1.80M,$650/w,$750/w,House 1999 575m2 Residential - A 1/232554 ,27 Jun 2018 Sold $1.47M,"20 Apr 2018 Listed for Sale SOLD $1,465,000",,20 Sep 1999 Sold $485k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/7-buna-st-ryde-nsw-2112-12822587,"7 Buna St, Ryde",5,3,3,567m2,$1.50M,$1.60M,$500/w,$575/w,House 1987 567m2 Residential - A 16/DP259418 ,26 Jun 2018 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/17-potts-st-ryde-nsw-2112-2133061,"17 Potts St, Ryde",3,1,2,961m2,$2.40M,$2.60M,$850/w,$950/w,House 1930 105m2 961m2 Residential - A 2/217229 ,26 Jun 2018 Sold $2.46M,30 Mar 2005 Sold $700k,105m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/51-pooley-st-ryde-nsw-2112-4748644,"51 Pooley St, Ryde",4,2,2,663m2,$1.50M,$1.60M,$650/w,$750/w,House 2001 663m2 Residential - A 29/26692 ,26 Jun 2018 Sold ,04 Aug 2015 Sold $490k,,18 Nov 2014 Sold  (Partial Sale) $490k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/54-fawcett-st-ryde-nsw-2112-10233814,"54 Fawcett St, Ryde",5,3,1,758m2,$1.55M,$1.89M,,,House 1940 165m2 758m2 Residence Residential - A 22/30420 ,07 Nov 2019 Listed for Rent LEASED WITHIN ONE WEEK!,23 Jun 2018 Sold $1.91M,165m2,16 Feb 2018 Sold $1.85M
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/15-henry-st-ryde-nsw-2112-13058255,"15 Henry St, Ryde",4,2,1,624m2,$2.40M,$2.60M,$850/w,$950/w,House 2000 284m2 624m2 Residential - A A/22723 ,22 Jun 2018 Sold $2.39M,05 Sep 1998 Sold $330k,284m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/53-lavarack-st-ryde-nsw-2112-13039834,"53 Lavarack St, Ryde",3,1,1,649m2,$1.40M,$1.50M,$575/w,$650/w,House 1979 649m2 Residential - A 49/DP210723 ,21 Jun 2018 Sold $1.38M,"23 May 2018 Listed for Sale For Sale $1,300,000",,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/27a-kuppa-rd-ryde-nsw-2112-12745477,"27a Kuppa Rd, Ryde",2,1,2,402m2,$1.30M,$1.40M,$500/w,$575/w,House 1980 402m2 Residential - A A/DP387133 ,19 Jun 2018 Sold ,13 Apr 2016 Listed for Rent $500 - $550 per week,,04 Feb 1980 Sold $54k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/11-parkes-st-ryde-nsw-2112-13611728,"11 Parkes St, Ryde",2,1,2,470m2,$1.40M,$1.50M,$500/w,$575/w,House 1978 470m2 Residential - A L/DP399168 ,19 Jun 2018 Sold $1.40M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/1a-cameron-cres-ryde-nsw-2112-20590718,"1a Cameron Cres, Ryde",-,-,-,360m2,$1.80M,$2.00M,$850/w,$950/w,House 1981 360m2 ,19 Jun 2018 Sold $1.91M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/1-burke-st-ryde-nsw-2112-13014008,"1 Burke St, Ryde",6,4,2,638m2,$2.20M,$2.40M,$350/w,$425/w,House 1981 638m2 Residential - A 53/DP26692 ,16 Jun 2018 Sold $2.10M,25 Sep 1984 Sold $107k,,27 Apr 1981 Sold $68k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/4-colebee-st-ryde-nsw-2112-18573164,"4 Colebee St, Ryde",3,2,2,212m2,$1.60M,$1.80M,$575/w,$650/w,House 2014 212m2 Residential - A 402/1175361 ,14 Jun 2018 Sold $1.90M,26 Sep 2014 Sold $960k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/40b-jones-st-ryde-nsw-2112-4540198,"40b Jones St, Ryde",4,2,2,407m2,$1.50M,$1.60M,$650/w,$750/w,House 2000 407m2 Residence Residential - A 172/868697 ,14 Jun 2018 Sold ,30 May 2002 Sold $470k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/7-baird-ave-ryde-nsw-2112-13115966,"7 Baird Ave, Ryde",4,2,2,607m2,$1.60M,$1.80M,$575/w,$650/w,House 1935 607m2 Residence Residential - A 25/25962 ,13 Jun 2018 Sold $1.43M,10 May 2018 Listed for Sale SOLD PRIOR TO AUCTION,,28 Feb 2013 Sold $905k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/33-dorothy-st-ryde-nsw-2112-13280867,"33 Dorothy St, Ryde",5,2,1,802m2,$1.80M,$2.00M,$850/w,$950/w,House 1980 802m2 Residential - A 72/DP26811 ,13 Jun 2018 Sold $1.73M,18 Apr 1980 Sold $54k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/23-minga-st-ryde-nsw-2112-2418947,"23 Minga St, Ryde",5,3,1,613m2,$2.60M,$2.80M,$575/w,$650/w,House 2014 300m2 613m2 Residential - A 24/249927 ,13 Jun 2018 Sold ,04 May 2007 Sold $635k,300m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/14-john-miller-st-ryde-nsw-2112-4030920,"14 John Miller St, Ryde",4,2,2,538m2,$1.80M,$2.00M,$850/w,$950/w,House 1980 190m2 538m2 Residence Residential - A 38/35625 ,13 Jun 2018 Sold $1.78M,24 May 2018 Listed for Sale For Sale - Contact Agent,190m2,31 Jan 2014 Sold $1.16M
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/89-princes-st-ryde-nsw-2112-13268995,"89 Princes St, Ryde",3,1,2,729m2,$1.60M,$1.80M,$500/w,$575/w,House 1979 729m2 Residential - A 28/DP29255 ,12 Jun 2018 Sold $1.52M,23 Mar 2018 Listed for Sale CONTACT AGENT,,
