,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/7-57--63-cecil-ave-castle-hill-nsw-2154-13904936,"7/57-63 Cecil Ave, Castle Hill",2,1,2,112m2,4059m2,$800k,$900k,$500/w,$575/w,Unit 2005 112m2 4059m2 Residential - A 7/SP70964 ,04 May 2020 Sold $770k,31 Jan 2020 Sold $792k,"07 Nov 2019 Listed for Sale Guide $785,000"
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/32-11-garthowen-cres-castle-hill-nsw-2154-18937234,"32/11 Garthowen Cres, Castle Hill",1,2,1,,4805m2,$1.00M,$1.10M,$575/w,$650/w,Unit 1976 4805m2 ,04 May 2020 Sold ,07 Sep 2016 Sold $740k,22 Aug 2013 Sold $740k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/30-westminster-dr-castle-hill-nsw-2154-2231916,"30 Westminster Dr, Castle Hill",5,3,3,,1069m2,$1.80M,$2.00M,$850/w,$950/w,House 2006 1069m2 Residential - A 62/776703 ,04 May 2020 Sold $2.10M,29 Apr 2020 Listed for Sale Contact Agent,17 Aug 2016 Sold $2.10M
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/16-zullo-ct-castle-hill-nsw-2154-4274780,"16 Zullo Ct, Castle Hill",4,2,2,,650m2,$1.20M,$1.30M,$650/w,$750/w,House 1995 650m2 House Residential - A 3064/853611 ,02 May 2020 Sold $1.38M,09 Dec 2014 Sold $900k,15 Oct 2012 Sold $683k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/17-20-pennant-st-castle-hill-nsw-2154-4608801,"17/20 Pennant St, Castle Hill",2,1,1,,4189m2,$1.00M,$1.10M,$425/w,$500/w,House 1980 4189m2 Residential - A ,12 Jun 2020 Listed for Rent $480 pw,01 May 2020 Sold $1.02M,07 Dec 2001 Sold $245k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/10-howard-pl-castle-hill-nsw-2154-13655987,"10 Howard Pl, Castle Hill",8,4,4,215m2,3948m2,$1.80M,$2.00M,$650/w,$750/w,House 1950 215m2 3948m2 Residential - A 9/DP613920 ,30 Apr 2020 Sold $1.80M,"16 Aug 2019 Listed for Sale $2,100,000",07 Mar 2019 Sold 
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/9b-kings-rd-castle-hill-nsw-2154-9099375,"9b Kings Rd, Castle Hill",3,2,1,130m2,404m2,$1.00M,$1.10M,$500/w,$575/w,House 1994 130m2 404m2 Residence Residential - A 51/DP834008 ,29 Apr 2020 Sold $1.06M,02 Jun 2010 Sold $225k,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/199-old-northern-rd-castle-hill-nsw-2154-13231627,"199 Old Northern Rd, Castle Hill",3,1,1,,909m2,$1.20M,$1.30M,$425/w,$500/w,House 1960 909m2 Residential - A 2/612858 ,28 Apr 2020 Sold $1.11M,31 Aug 2015 Sold $1.50M,11 Dec 2012 Rented $395
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/13-22--26-mercer-st-castle-hill-nsw-2154-14121516,"13/22-26 Mercer St, Castle Hill",2,2,1,,12580m2,$800k,$900k,$500/w,$575/w,Unit 2009 12580m2 Residential - A 13/SP76929 ,28 Apr 2020 Sold $780k,24 May 2006 Sold $425k,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/6-verincourt-way-castle-hill-nsw-2154-2288435,"6 Verincourt Way, Castle Hill",4,2,2,,671m2,$1.80M,$2.00M,$950/w,$1100/w,House 2006 671m2 Residential - A 7/285916 ,22 Jun 2020 Listed for Rent $950 per week,28 Apr 2020 Sold $1.93M,08 Apr 2020 Listed for Sale SOLD by Reuben Kee 0423 741 323
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/4-walsh-ave-castle-hill-nsw-2154-4343297,"4 Walsh Ave, Castle Hill",4,2,1,127m2,762m2,$1.40M,$1.50M,$650/w,$750/w,House 1985 127m2 762m2 Residence Residential - A 220/711819 ,28 Apr 2020 Sold $1.48M,17 Mar 2020 Listed for Sale Just Listed,08 Oct 2003 Sold $623k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/5-walsh-ave-castle-hill-nsw-2154-4385423,"5 Walsh Ave, Castle Hill",4,3,2,398m2,811m2,$1.80M,$2.00M,$750/w,$850/w,House 2004 398m2 811m2 Residence Residential - A 2/1053647 ,28 Apr 2020 Sold $1.89M,08 Oct 2003 Sold $570k,24 Apr 2003 Sold $560k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/7-belltree-cres-castle-hill-nsw-2154-12813309,"7 Belltree Cres, Castle Hill",5,3,2,275m2,685m2,$1.60M,$1.80M,$500/w,$575/w,House 2000 275m2 685m2 Residential - A 3423/879748 ,27 Apr 2020 Sold $1.80M,11 Mar 2020 Listed for Sale Zoned for Cherrybrook Tech High,05 Feb 1999 Sold $247k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/21-chapman-ave-castle-hill-nsw-2154-2394189,"21 Chapman Ave, Castle Hill",6,2,4,,1025m2,$1.50M,$1.60M,$500/w,$575/w,House 1980 1025m2 Residential - A 21/246981 ,27 Apr 2020 Sold $1.18M,02 Nov 2004 Sold $600k,17 Jan 1997 Sold $350k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/4-hogan-gr-castle-hill-nsw-2154-4576868,"4 Hogan Gr, Castle Hill",4,2,2,320m2,773m2,$1.40M,$2.10M,,,Land 2002 320m2 773m2 Vacant Land Residential - A 719/DP1032545 ,27 Apr 2020 Sold ,21 Dec 2001 Sold $300k,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/33-ashmead-ave-castle-hill-nsw-2154-8369488,"33 Ashmead Ave, Castle Hill",5,3,3,355m2,711m2,$2.00M,$2.20M,$650/w,$750/w,House 2011 355m2 711m2 Residence Residential - A 14/1138282 ,26 Apr 2020 Sold $2.20M,01 Apr 2020 Listed for Sale Contact Agent,24 Apr 2013 Sold $1.55M
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/39-castlewood-dr-castle-hill-nsw-2154-13281530,"39 Castlewood Dr, Castle Hill",5,3,2,,854m2,$1.80M,$2.00M,$650/w,$750/w,House 1986 854m2 Residential - A 14/778160 ,25 Apr 2020 Sold $1.83M,09 Sep 2016 Sold $1.41M,03 Sep 1993 Sold $320k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/4-jarrah-pl-castle-hill-nsw-2154-19390942,"4 Jarrah Pl, Castle Hill",4,3,3,,816m2,$1.50M,$1.60M,$750/w,$850/w,House 1984 816m2 Residential - A 102/702468 ,25 Apr 2020 Sold $1.49M,29 Oct 2004 Sold $720k,23 Apr 1998 Sold $450k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/36-britannia-rd-castle-hill-nsw-2154-12935076,"36 Britannia Rd, Castle Hill",4,2,2,,948m2,$1.40M,$1.50M,$650/w,$750/w,House 1975 948m2 Residential - A 77/DP252652 ,24 Apr 2020 Sold $1.40M,,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/55-sherwin-ave-castle-hill-nsw-2154-13468209,"55 Sherwin Ave, Castle Hill",3,1,1,,734m2,$1.20M,$1.30M,$500/w,$575/w,House 1979 734m2 Residential - A 2/DP222116 ,24 Apr 2020 Sold $1.30M,,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/8-barrawarn-pl-castle-hill-nsw-2154-4807823,"8 Barrawarn Pl, Castle Hill",-,-,-,,696m2,$1.20M,$1.30M,$350/w,$425/w,House 2018 696m2 Residential - A 31/232658 ,24 Apr 2020 Sold $1.33M,11 Mar 2020 Listed for Sale Sold at Digital Auction,08 May 2018 Sold $1.50M
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/76-gindurra-ave-castle-hill-nsw-2154-10298607,"76 Gindurra Ave, Castle Hill",4,2,2,172m2,334m2,$1.10M,$1.20M,$575/w,$650/w,Unit 1995 172m2 334m2 Residential - A SP49462 ,22 Apr 2020 Sold $1.13M,04 Mar 2020 Listed for Sale Contact Agent,19 May 1995 Sold $250k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/8-queens-ct-castle-hill-nsw-2154-14849871,"8 Queens Ct, Castle Hill",4,3,3,375m2,700m2,$1.60M,$1.80M,$1100/w,$1250/w,House 2005 375m2 700m2 Residential - A 5/285796 ,22 Apr 2020 Sold $1.74M,22 Jul 2005 Sold $1.10M,22 Jul 2005 Sold $1.10M
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/4-carrbridge-dr-castle-hill-nsw-2154-2218911,"4 Carrbridge Dr, Castle Hill",4,3,2,,467m2,$1.10M,$1.20M,$575/w,$650/w,House 1994 467m2 Residential - A 1/840958 ,22 Apr 2020 Sold $1.23M,22 Sep 2006 Sold $610k,29 Nov 2005 Sold $550k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/27-ferguson-ave-castle-hill-nsw-2154-13571675,"27 Ferguson Ave, Castle Hill",3,1,2,,1200m2,$1.20M,$1.30M,$500/w,$575/w,House 1981 1200m2 Residential - A 329/DP238119 ,21 Apr 2020 Sold $1.10M,18 Mar 2020 Listed for Sale SOLD at Digital Auction,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/9-15--19-hume-ave-castle-hill-nsw-2154-14121395,"9/15-19 Hume Ave, Castle Hill",2,2,2,118m2,4334m2,$750k,$800k,$500/w,$575/w,Unit 2004 118m2 4334m2 Residential - A 9/SP73819 ,20 Apr 2020 Sold $765k,25 Mar 2020 Listed for Sale ANOTHER SOLD BY KARL ANTHONY and SARA PERRY!!,26 Aug 2019 Listed for Rent $530
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/137-23--35-crane-rd-castle-hill-nsw-2154-17850027,"137/23-35 Crane Rd, Castle Hill",2,2,2,,17394m2,$800k,$900k,$575/w,$650/w,Unit 2011 17394m2 Residential - A 139/SP87062 ,20 Apr 2020 Sold $742k,09 Aug 2012 Sold $535k,06 May 2010 Sold $535k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/6-squire-pl-castle-hill-nsw-2154-4741973,"6 Squire Pl, Castle Hill",4,3,3,,867m2,$1.50M,$1.60M,$500/w,$575/w,House 1985 867m2 Residential - A 2097/263858 ,20 Apr 2020 Sold $1.38M,23 Feb 2000 Sold $120k,14 Jun 1985 Sold $178k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/37-gilbert-rd-castle-hill-nsw-2154-13445382,"37 Gilbert Rd, Castle Hill",4,2,2,,930m2,$1.20M,$1.30M,$575/w,$650/w,House 1978 930m2 Residential - A 26/DP255785 ,18 Apr 2020 Sold $1.25M,19 Mar 2020 Listed for Sale Sold by Joel Simpson,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/44-31--39-sherwin-ave-castle-hill-nsw-2154-14262992,"44/31-39 Sherwin Ave, Castle Hill",1,1,1,,7889m2,$600k,$650k,$425/w,$500/w,Unit 2003 7889m2 Residential - A ,17 Apr 2020 Sold $622k,13 Mar 2020 Listed for Sale Auction,28 Sep 2009 Sold $358k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/44-ambleside-dr-castle-hill-nsw-2154-12829274,"44 Ambleside Dr, Castle Hill",3,1,1,,741m2,$1.20M,$1.30M,$500/w,$575/w,House 1979 741m2 Residential - A 22/DP223079 ,16 Apr 2020 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/14-barrawarn-pl-castle-hill-nsw-2154-13256485,"14 Barrawarn Pl, Castle Hill",3,2,2,,696m2,$1.50M,$1.60M,$575/w,$650/w,House 1990 696m2 Residential - A 28/DP232658 ,15 Apr 2020 Sold $1.51M,12 Mar 2020 Listed for Sale ANOTHER SOLD BY SAM SHAMAL,16 Mar 2018 Sold $1.90M
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/57-ulundri-dr-castle-hill-nsw-2154-13487986,"57 Ulundri Dr, Castle Hill",4,3,2,,1036m2,$1.60M,$1.80M,$850/w,$950/w,House 1992 1036m2 Residential - A 32/709397 ,15 Apr 2020 Sold ,06 Sep 2016 Sold $1.71M,12 Dec 2013 Sold $1.20M
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/29-2--4-purser-ave-castle-hill-nsw-2154-14121786,"29/2-4 Purser Ave, Castle Hill",2,2,2,,10299m2,$800k,$900k,$500/w,$575/w,Unit 2006 10299m2 Residential - A 29/SP76430 ,15 Apr 2020 Sold $870k,28 Feb 2006 Sold $400k,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/113-chepstow-dr-castle-hill-nsw-2154-14263418,"113 Chepstow Dr, Castle Hill",4,2,3,208m2,701m2,$1.40M,$1.50M,$750/w,$850/w,House 2000 208m2 701m2 Residential - A 229/DP1039411 ,15 Apr 2020 Sold $1.41M,,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/5-combara-ave-castle-hill-nsw-2154-13362147,"5 Combara Ave, Castle Hill",4,3,2,,696m2,$1.30M,$1.40M,$650/w,$750/w,House 1980 696m2 Residential - A 51/240036 ,14 Apr 2020 Sold $1.49M,"11 Feb 2020 Listed for Sale Sold For $1,485,000",07 Aug 2018 Listed for Rent Leased by Joyce Cai
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/19-tawmii-pl-castle-hill-nsw-2154-19288327,"19 Tawmii Pl, Castle Hill",5,2,3,,800m2,$1.60M,$1.80M,$650/w,$750/w,House 2003 800m2 Residential - A 17/826507 ,13 Apr 2020 Sold $1.59M,25 Mar 2020 Listed for Sale Just Listed,19 Apr 2006 Sold $725k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/11-27--31-church-st-castle-hill-nsw-2154-14178646,"11/27-31 Church St, Castle Hill",3,2,2,,3786m2,$800k,$900k,$650/w,$750/w,Unit 2004 3786m2 Residential - A 11/SP73314 ,09 Apr 2020 Sold $880k,01 Mar 2005 Sold $512k,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/32-4--6-mercer-st-castle-hill-nsw-2154-14121434,"32/4-6 Mercer St, Castle Hill",2,2,2,,4720m2,$750k,$800k,$500/w,$575/w,Unit 2004 4720m2 Residential - A 32/SP73120 ,08 Apr 2020 Sold $755k,07 Oct 2017 Sold ,09 Sep 2004 Sold $475k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/171b-old-northern-rd-castle-hill-nsw-2154-2570886,"171b Old Northern Rd, Castle Hill",5,2,2,348m2,937m2,$1.50M,$1.60M,$575/w,$650/w,House 1995 348m2 937m2 Residential - A 3/DP562174 ,08 Apr 2020 Sold $1.46M,14 Mar 2008 Sold $590k,30 Jun 1997 Sold $134k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/6-20-pennant-st-castle-hill-nsw-2154-4363826,"6/20 Pennant St, Castle Hill",3,1,2,85m2,4189m2,$900k,$1.00M,$500/w,$575/w,Unit 1982 85m2 4189m2 Residential - A 6/SP19445 ,08 Apr 2020 Sold $1.02M,29 Jul 2019 Listed for Rent LEASED,09 Apr 2019 Listed for Rent $530 Per Week
