,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/5-whitbread-pl-north-rocks-nsw-2151-4667040,"5 Whitbread Pl, North Rocks",5,3,3,806m2,$1.10M,$1.20M,$300/w,$350/w,House 1994 806m2 Residence Residential - A 5/DP248626 ,05 Jun 2001 Sold $815k,06 Apr 1994 Sold $577k,,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/1-jean-st-north-rocks-nsw-2151-13906338,"1 Jean St, North Rocks",2,1,1,695m2,$1.30M,$1.40M,$500/w,$575/w,House 1950 73m2 695m2 Residential - A 116/DP23173 ,13 Jun 2017 Sold $1.15M,"07 Dec 2016 Listed for Sale $1,150,000",,73m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/50--52-statham-ave-north-rocks-nsw-2151-17706971,"50-52 Statham Ave, North Rocks",3,2,1,685m2,$1.10M,$1.20M,$650/w,$750/w,House 1970 139m2 685m2 Residential - A 8/DP23197 ,13 Jun 2017 Sold $1.14M,,,139m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/3-wanjina-pl-north-rocks-nsw-2151-4808087,"3 Wanjina Pl, North Rocks",5,3,2,695m2,$1.40M,$1.50M,$750/w,$850/w,House 1970 196m2 695m2 Residential - A 152/237911 ,13 Jun 2017 Sold $1.49M,17 Apr 2014 Sold $1.00M,28 Sep 1999 Sold $438k,196m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/16-lawndale-ave-north-rocks-nsw-2151-3403848,"16 Lawndale Ave, North Rocks",4,2,4,717m2,$1.30M,$1.40M,$500/w,$575/w,House 1960 155m2 717m2 Residential - A 31/29291 ,05 Jun 2017 Sold $1.50M,23 Feb 2017 Listed for Sale AUCTION,02 Aug 2013 Sold $785k,155m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/49-north-rocks-rd-north-rocks-nsw-2151-2173665,"49 North Rocks Rd, North Rocks",4,3,2,710m2,$1.06M,$1.30M,,,House 1980 710m2 Residential - A 12/22931 ,19 May 2017 Sold $1.15M,20 Jan 2010 Sold $470k,02 May 2003 Sold $450k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/2-mill-dr-north-rocks-nsw-2151-13787996,"2 Mill Dr, North Rocks",3,1,2,875m2,$1.30M,$1.40M,$750/w,$850/w,House 1970 179m2 875m2 Residential - A 115/248615 ,18 May 2017 Sold $1.15M,17 May 2013 Sold $690k,23 Dec 1993 Sold $230k,179m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/9-william-pl-north-rocks-nsw-2151-13530915,"9 William Pl, North Rocks",5,3,2,891m2,,,$650/w,$750/w,House 1983 538m2 891m2 Residential - A 81/225547 ,10 May 2017 Sold $1.57M,30 Nov 2016 Listed for Sale Sold,08 Apr 2016 Listed for Sale By Negotiation,538m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/75-mill-dr-north-rocks-nsw-2151-3768941,"75 Mill Dr, North Rocks",3,1,1,1199m2,$1.20M,$1.30M,$750/w,$850/w,House 1978 142m2 1199m2 Residential - A 168/248615 ,10 May 2017 Sold $1.18M,11 Jun 2004 Sold $790k,06 Dec 2000 Sold $435k,142m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/11-charles-ct-north-rocks-nsw-2151-12754439,"11 Charles Ct, North Rocks",4,3,2,847m2,$1.30M,$1.40M,$575/w,$650/w,House 1980 210m2 847m2 Residential - A 46/220134 ,01 May 2017 Sold $1.38M,21 Jan 1997 Sold $258k,,210m2
