,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/28-edinburgh-pl-winston-hills-nsw-2153-13431196,"28 Edinburgh Pl, Winston Hills",2,1,1,,632m2,$900k,$1.00M,$575/w,$650/w,House 1994 632m2 Residential - A 27/231049 ,02 Jul 2020 Sold $930k,09 Mar 1994 Sold $143k,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/427-old-windsor-rd-winston-hills-nsw-2153-13026982,"427 Old Windsor Rd, Winston Hills",4,1,1,159m2,556m2,$900k,$1.00M,$500/w,$575/w,House 1980 159m2 556m2 Residential - A 464/233445 ,30 Jun 2020 Sold $990k,12 Sep 1997 Sold $170k,07 Nov 1990 Sold $138k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/4-boada-pl-winston-hills-nsw-2153-13761605,"4 Boada Pl, Winston Hills",4,2,2,,670m2,$900k,$1.00M,$425/w,$500/w,House 1977 670m2 Residential - A 14/DP253959 ,29 Jun 2020 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/5-kilian-st-winston-hills-nsw-2153-2208339,"5 Kilian St, Winston Hills",3,1,1,93m2,556m2,$900k,$1.00M,$500/w,$575/w,House 1968 93m2 556m2 Residence Residential - A 40/237358 ,29 Jun 2020 Sold $1.00M,28 Oct 2005 Sold $419k,08 Aug 2001 Sold $290k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/48-model-farms-rd-winston-hills-nsw-2153-13780711,"48 Model Farms Rd, Winston Hills",4,2,3,140m2,562m2,$1.00M,$1.10M,$575/w,$650/w,House 1970 140m2 562m2 Residential - A 24/230545 ,26 Jun 2020 Sold $1.09M,13 Jul 2018 Sold $1.08M,03 Oct 2014 Sold $865k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/18-goldsmith-ave-winston-hills-nsw-2153-4315049,"18 Goldsmith Ave, Winston Hills",3,1,1,,664m2,$1.60M,$1.80M,$575/w,$650/w,House 1980 664m2 Residence Residential - A 37/230545 ,24 Jun 2020 Sold $1.76M,01 Jun 2017 Sold $1.11M,"20 Mar 2017 Listed for Sale Range $980,000 to $1,070,000"
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/144-lanhams-rd-winston-hills-nsw-2153-12754832,"144 Lanhams Rd, Winston Hills",4,2,2,,664m2,$1.10M,$1.20M,$500/w,$575/w,House 1972 664m2 Residential - A 1033/DP238063 ,20 Jun 2020 Sold $1.13M,,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/21-clackmannan-rd-winston-hills-nsw-2153-12706892,"21 Clackmannan Rd, Winston Hills",2,1,1,,550m2,$750k,$800k,$500/w,$575/w,House 1995 550m2 Residential - A 179/224287 ,19 Jun 2020 Sold $600k,23 May 2019 Sold ,01 Dec 1998 Sold $220k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/5-coolaroo-pl-winston-hills-nsw-2153-12829964,"5 Coolaroo Pl, Winston Hills",3,1,1,141m2,765m2,$1.00M,$1.10M,$500/w,$575/w,House 1960 141m2 765m2 Residential - A 4/217713 ,19 Jun 2020 Sold $1.03M,18 May 2020 Listed for Sale SOLD,22 Nov 2013 Sold $735k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/7-attlee-pl-winston-hills-nsw-2153-14978190,"7 Attlee Pl, Winston Hills",4,2,2,,771m2,$1.00M,$1.10M,$425/w,$500/w,House 1979 771m2 Residential - A 44/228084 ,17 Jun 2020 Sold $1.04M,14 Feb 1997 Sold $235k,28 Jan 1981 Sold $90k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/19-gideon-st-winston-hills-nsw-2153-13513319,"19 Gideon St, Winston Hills",3,1,2,,582m2,$800k,$900k,$500/w,$575/w,House 1973 582m2 Residential - A 177/DP234685 ,06 Jun 2020 Sold $876k,31 Oct 2019 Listed for Rent LEASED,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/7-model-farms-rd-winston-hills-nsw-2153-12619645,"7 Model Farms Rd, Winston Hills",3,2,2,,872m2,$1.00M,$1.10M,$425/w,$500/w,House 1972 872m2 Residential - A 182/DP230923 ,05 Jun 2020 Sold $1.07M,28 May 2020 Listed for Sale Contact Arthur Kolovos 0410 394 573,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/5-omar-pl-winston-hills-nsw-2153-4435873,"5 Omar Pl, Winston Hills",4,2,2,158m2,874m2,$1.10M,$1.20M,$575/w,$650/w,House 1975 158m2 874m2 Residence Residential - A 16/249732 ,05 Jun 2020 Sold ,18 Dec 2013 Sold $804k,28 Jan 2003 Sold $478k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/45c-reilleys-rd-winston-hills-nsw-2153-11047652,"45c Reilleys Rd, Winston Hills",3,2,2,155m2,333m2,$900k,$1.00M,$575/w,$650/w,House 2000 155m2 333m2 Residence Residential - A 3/DP1092577 ,"05 Jun 2020 Listed for Sale $950,000",02 Jun 2020 Sold $950k,"25 May 2020 Listed for Sale $950,000"
