,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,year_type,Sold_History1,Sold_History2,Sold_History3,rent_low,rent_high
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/3-8-reserve-st-west-ryde-nsw-2114-12724778,"3/8 Reserve St, West Ryde",2,1,1,,1018m2,$750k,$800k,House 1920 1018m2 Residential - A 3/SP32242 ,17 Apr 2014 Sold $700k,,,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/851-victoria-rd-west-ryde-nsw-2114-4748084,"851 Victoria Rd, West Ryde",4,2,1,120m2,493m2,$1.30M,$1.40M,House 1950 120m2 493m2 Residence Residential - A 6/4825 ,11 Apr 2014 Sold $795k,15 Jul 2011 Sold $690k,04 Feb 2000 Sold $295k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/22-chatham-rd-west-ryde-nsw-2114-12586921,"22 Chatham Rd, West Ryde",3,1,1,187m2,651m2,$1.60M,$1.80M,House 1920 187m2 651m2 Residential - A 48/8092 ,07 Apr 2014 Sold $1.18M,20 Oct 1987 Sold $135k,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/12-hall-st-west-ryde-nsw-2114-13095203,"12 Hall St, West Ryde",3,1,1,,746m2,$1.50M,$1.60M,House 1980 746m2 Residential - A 333/22740 ,27 Sep 2016 Rented $400,31 Mar 2014 Sold $560k,23 Sep 2013 Rented $400,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1-42-clarke-st-west-ryde-nsw-2114-4434423,"1/42 Clarke St, West Ryde",2,2,1,93m2,1620m2,$700k,$750k,House 1995 93m2 1620m2 Residential - A 1/SP38887 ,27 Mar 2014 Sold $685k,31 Aug 2012 Sold $545k,31 Jan 2003 Sold $415k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/14-hermitage-rd-west-ryde-nsw-2114-13083164,"14 Hermitage Rd, West Ryde",5,3,4,274m2,695m2,$2.00M,$2.20M,House 2008 274m2 695m2 Residential - A 1/902318 ,24 Mar 2014 Sold $1.71M,,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/8-35--37-tramway-st-west-ryde-nsw-2114-2306850,"8/35-37 Tramway St, West Ryde",2,1,1,371m2,2619m2,$700k,$750k,House 1969 371m2 2619m2 Residential - A 8/SP4476 ,24 Mar 2014 Sold $600k,01 Jul 2009 Sold $460k,14 Jul 2006 Sold $343k,$350/w,$425/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/44-bank-st-west-ryde-nsw-2114-13410651,"44 Bank St, West Ryde",3,1,2,575m2,575m2,$1.30M,$1.40M,House 1910 575m2 575m2 Residential - A 9/9010 ,21 Mar 2014 Sold $850k,23 Nov 1994 Sold $158k,,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/23-falconer-st-west-ryde-nsw-2114-12663193,"23 Falconer St, West Ryde",4,1,2,148m2,695m2,$1.60M,$1.80M,House 1920 148m2 695m2 Residential - A 1/913002 ,14 Mar 2014 Sold $1.15M,27 Apr 1979 Sold $54k,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/35-maxim-st-west-ryde-nsw-2114-12840588,"35 Maxim St, West Ryde",4,1,2,114m2,663m2,$1.60M,$1.80M,House 1915 114m2 663m2 Residential - A 2/513008 ,14 Mar 2014 Sold $1.26M,01 Jan 1970 Sold ,,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/2-115-constitution-rd-w-west-ryde-nsw-2114-14832866,"2/115 Constitution Rd W, West Ryde",3,2,3,123m2,1005m2,$1.13M,$1.69M,House 1930 123m2 1005m2 Residential - A 2/SP61052 ,14 Mar 2014 Sold $1.04M,04 Aug 2000 Sold $373k,23 Sep 1999 Sold $355k,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/22-mellor-st-west-ryde-nsw-2114-2394640,"22 Mellor St, West Ryde",3,2,3,77m2,499m2,$1.30M,$1.40M,House 1930 77m2 499m2 Residential - A A/181163 ,05 Mar 2014 Sold $840k,24 Jan 2007 Sold $458k,28 Apr 1986 Sold $78k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/37-griffiths-ave-west-ryde-nsw-2114-12286266,"37 Griffiths Ave, West Ryde",2,1,1,,556m2,$900k,$1.00M,House 1950 556m2 Residential - A A/396299 ,07 Feb 2014 Sold $950k,,,$350/w,$425/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1-50-farnell-st-west-ryde-nsw-2114-16139436,"1/50 Farnell St, West Ryde",4,3,2,,1280m2,$1.80M,$2.00M,House 2012 1280m2 Residential - A 1/SP87756 ,01 Dec 2017 Listed for Sale Modern 4 Bedroom Home with Double Garage.,03 Feb 2014 Sold $920k,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/55-adelaide-st-west-ryde-nsw-2114-12667821,"55 Adelaide St, West Ryde",4,3,2,158m2,581m2,$1.39M,$1.70M,House 2014 158m2 581m2 Residential - A 8/12627 ,31 Jan 2014 Sold $1.00M,,,,
