,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/12-ainslie-pde-carlingford-nsw-2118-12907787,"12 Ainslie Pde, Carlingford",4,2,2,703m2,$1.30M,$1.40M,$575/w,$650/w,House 1979 703m2 Residential - A 18/DP222968 ,08 Aug 2020 Sold $1.32M,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/39a-dandarbong-ave-carlingford-nsw-2118-17795341,"39a Dandarbong Ave, Carlingford",5,4,2,785m2,$1.50M,$1.60M,$850/w,$950/w,House 2014 289m2 785m2 Residential - A ,08 Aug 2020 Sold ,28 Jul 2016 Sold ,27 Feb 2015 Sold $1.18M,289m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/15-torquil-ave-carlingford-nsw-2118-4743885,"15 Torquil Ave, Carlingford",4,3,2,751m2,$1.40M,$1.50M,$650/w,$750/w,House 1995 751m2 Residential - A 4/255025 ,08 Aug 2020 Sold $1.45M,27 Mar 2000 Sold $372k,07 Sep 1995 Sold $280k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/240b-pennant-hills-rd-carlingford-nsw-2118-5904122,"240b Pennant Hills Rd, Carlingford",4,3,2,434m2,$1.30M,$1.40M,$650/w,$750/w,House 2014 434m2 Residential - A 3/DP1178301 ,05 Aug 2020 Sold ,10 Feb 2014 Sold $830k,07 Aug 2013 Sold $830k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/27-mcmullen-ave-carlingford-nsw-2118-12729922,"27 Mcmullen Ave, Carlingford",3,2,2,762m2,$1.10M,$1.20M,$500/w,$575/w,House 1978 762m2 Residential - A 45/DP26990 ,04 Aug 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/3-montgomery-rd-carlingford-nsw-2118-2078099,"3 Montgomery Rd, Carlingford",5,4,4,739m2,$1.50M,$1.60M,$250/w,$300/w,House 1978 230m2 739m2 Residential - A 82/29440 ,02 Aug 2020 Sold $1.55M,11 Jun 2020 Listed for Sale Contact agent,31 Aug 2007 Sold $681k,230m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/6-anthony-st-carlingford-nsw-2118-13324898,"6 Anthony St, Carlingford",4,2,2,803m2,$1.60M,$1.80M,$650/w,$750/w,House 1980 803m2 Residential - A 10/201713 ,18 Aug 2020 Listed for Rent Deposit Taken!,01 Aug 2020 Sold $1.55M,25 Feb 2020 Listed for Sale Auction (if not sold prior),
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/6-page-ct-carlingford-nsw-2118-13319176,"6 Page Ct, Carlingford",4,2,2,701m2,$1.20M,$1.30M,$425/w,$500/w,House 1991 701m2 Residential - A 43/DP239229 ,31 Jul 2020 Sold ,14 Feb 1991 Sold $250k,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/20-benghazi-rd-carlingford-nsw-2118-13301433,"20 Benghazi Rd, Carlingford",3,1,1,739m2,$1.30M,$1.40M,$500/w,$575/w,House 1950 95m2 739m2 Residence Residential - A 17/27839 ,30 Jul 2020 Sold ,19 Jun 2019 Listed for Rent $530,01 Dec 2015 Rented $550,95m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/19a-thallon-st-carlingford-nsw-2118-4270510,"19a Thallon St, Carlingford",3,2,1,965m2,$1.00M,$1.10M,$425/w,$500/w,House 1990 139m2 965m2 Residence Residential - A SP37661 ,04 Sep 2020 Listed for Rent $470 Per Week,28 Jul 2020 Sold $1.60M,20 Sep 2009 Sold $615k,139m2
