,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/10-newton-st-north-epping-nsw-2121-4487588,"10 Newton St, North Epping",4,3,2,765m2,$1.50M,$1.60M,$1100/w,$1250/w,House 2002 765m2 Residence Residential - A 16/25041 ,24 Oct 2002 Sold $535k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/6-walker-pl-north-epping-nsw-2121-4489909,"6 Walker Pl, North Epping",4,3,2,744m2,$1.48M,$1.81M,$650/w,$750/w,House 1970 744m2 Residence Residential - A 13/247249 ,09 Nov 1979 Sold $108k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/16-merle-st-north-epping-nsw-2121-4497810,"16 Merle St, North Epping",5,3,2,755m2,$1.47M,$2.21M,$500/w,$575/w,House 1996 755m2 Residence Residential - A 22/251685 ,22 May 1996 Sold $425k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/85-boundary-rd-north-epping-nsw-2121-4499404,"85 Boundary Rd, North Epping",3,1,1,753m2,$1.30M,$1.40M,$575/w,$650/w,House 2002 753m2 Residence Residential - A A/26797 ,17 Sep 2002 Sold $552k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/14-bedford-rd-north-epping-nsw-2121-4507867,"14 Bedford Rd, North Epping",3,2,2,1113m2,$1.50M,$1.60M,$575/w,$650/w,House 2002 1113m2 Residence Residential - A 19/28412 ,23 Aug 2002 Sold $600k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/8-bedford-rd-north-epping-nsw-2121-4460350,"8 Bedford Rd, North Epping",6,3,2,1208m2,$2.20M,$2.40M,$500/w,$575/w,House 2008 325m2 1208m2 Residence Residential - A 22/28412 ,09 Aug 2002 Sold $525k,,,325m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/49-devon-st-north-epping-nsw-2121-4513283,"49 Devon St, North Epping",3,2,2,1354m2,$1.60M,$1.80M,$575/w,$650/w,House 1996 1354m2 Residence Residential - A 1/584864 ,07 Aug 2002 Sold $630k,28 Jun 1996 Sold $280k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/14-belinda-cres-north-epping-nsw-2121-4524335,"14 Belinda Cres, North Epping",5,3,5,740m2,$1.60M,$1.80M,$500/w,$575/w,House 1975 262m2 740m2 Residence Residential - A 29/211420 ,,,,262m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/66-eastcote-rd-north-epping-nsw-2121-4530820,"66 Eastcote Rd, North Epping",3,3,2,1726m2,$1.17M,$1.76M,,,House 2003 315m2 1726m2 Residence Residential - A 22/30128 ,02 Dec 1999 Sold $400k,30 Aug 1996 Sold $240k,,315m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/208-malton-rd-north-epping-nsw-2121-4531542,"208 Malton Rd, North Epping",5,2,2,727m2,$1.60M,$1.80M,$850/w,$950/w,House 2002 727m2 Residence Residential - A 3/387644 ,21 Jun 2002 Sold $562k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/3a-callistemon-cl-north-epping-nsw-2121-14040842,"3a Callistemon Cl, North Epping",4,3,2,631m2,$1.80M,$2.00M,$950/w,$1100/w,House 2004 260m2 631m2 Vacant Land Residential - A 301/DP1159383 ,24 Jan 2019 Listed for Rent $900,15 Jun 2002 Sold $410k,,260m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/1-callistemon-cl-north-epping-nsw-2121-14124284,"1 Callistemon Cl, North Epping",3,3,2,267m2,$1.50M,$1.60M,$750/w,$850/w,House 2005 213m2 267m2 Vacant Land Residential - A 2/1046298 ,27 Nov 2002 Sold $455k,15 Jun 2002 Sold $487k,,213m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/3-callistemon-cl-north-epping-nsw-2121-14124287,"3 Callistemon Cl, North Epping",4,2,2,503m2,$1.38M,$2.07M,$575/w,$650/w,House 1979 503m2 Vacant Land Residential - A 302/DP1159383 ,,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/1-nirimba-ave-north-epping-nsw-2121-4537410,"1 Nirimba Ave, North Epping",4,2,2,841m2,$1.40M,$1.50M,$650/w,$750/w,House 2002 841m2 Residence Residential - A 35/201195 ,,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/130-norfolk-rd-north-epping-nsw-2121-4537843,"130 Norfolk Rd, North Epping",2,1,2,949m2,$1.24M,$1.86M,$500/w,$575/w,House 1980 949m2 Residence Residential - A 5/11912 ,,,,
